,Chimeric.Count,Enriched1_HDFplusRT.Count,Enriched1_LonzaDCplusRT.Count
AAV.137574,8.79826928773911,0,0
AAV.101124,8.57267263933554,0,5.01340129700859
AAV.101386,8.34707599093197,0,4.01072103760687
AAV.101278,8.34707599093197,4.04124002062219,10.0268025940172
AAV.100618,8.12147934252841,16.1649600824888,4.01072103760687
AAV.113615,7.89588269412484,0,0
AAV.181748,7.67028604572127,1236.61944631039,29.0777275226498
AAV.100671,7.44468939731771,4.04124002062219,15.0402038910258
AAV.177175,7.44468939731771,8.08248004124438,1.00268025940172
AAV.100811,7.21909274891414,12.1237200618666,15.0402038910258
AAV.100799,7.21909274891414,0,4.01072103760687
AAV.100733,6.99349610051057,133.360920680532,26.0696867444447
AAV.166501,6.76789945210701,0,0
AAV.172887,6.76789945210701,0,0
AAV.151860,6.76789945210701,0,0
AAV.101746,6.54230280370344,8.08248004124438,12.0321631128206
AAV.101456,6.54230280370344,12.1237200618666,6.01608155641031
AAV.183239,6.31670615529987,0,2.00536051880344
AAV.172438,5.86551285849274,0,0
AAV.100696,5.63991621008917,0,2.00536051880344
AAV.122689,5.63991621008917,0,0
AAV.183673,5.63991621008917,0,0
AAV.114474,5.63991621008917,4.04124002062219,1.00268025940172
AAV.101187,5.4143195616856,28.2886801443553,14.0375236316241
AAV.151177,5.4143195616856,0,0
AAV.141956,5.18872291328204,0,0
AAV.106787,4.96312626487847,0,0
AAV.173552,4.7375296164749,0,0
AAV.176892,4.51193296807134,0,0
AAV.116507,4.51193296807134,0,0
AAV.143391,4.51193296807134,0,1.00268025940172
AAV.129987,4.28633631966777,0,0
AAV.165779,4.28633631966777,0,0
AAV.130066,4.0607396712642,0,0
AAV.167747,3.83514302286064,0,1.00268025940172
AAV.127799,3.83514302286064,0,0
AAV.173015,3.60954637445707,0,0
AAV.104050,3.60954637445707,0,0
AAV.101625,3.60954637445707,0,11.0294828534189
AAV.100978,3.60954637445707,0,3.00804077820516
AAV.124948,3.3839497260535,0,0
AAV.176811,3.3839497260535,0,0
AAV.143084,3.3839497260535,0,0
AAV.183656,3.3839497260535,0,2.00536051880344
AAV.153305,3.3839497260535,0,0
AAV.114977,3.15835307764994,0,0
AAV.172815,3.15835307764994,0,0
AAV.101181,3.15835307764994,36.3711601855997,5.01340129700859
AAV.161828,2.93275642924637,0,2.00536051880344
AAV.180469,2.7071597808428,0,0
AAV.165734,2.48156313243924,0,0
AAV.172329,2.48156313243924,0,0
AAV.159111,2.48156313243924,0,0
AAV.165564,2.48156313243924,0,0
AAV.170949,2.48156313243924,0,0
AAV.123661,2.48156313243924,0,0
AAV.126454,2.48156313243924,0,0
AAV.125284,2.48156313243924,0,0
AAV.178500,2.48156313243924,0,0
AAV.176971,2.48156313243924,0,0
AAV.135998,2.25596648403567,0,0
AAV.133613,2.25596648403567,0,0
AAV.117580,2.0303698356321,0,0
AAV.182870,2.0303698356321,0,0
AAV.179765,2.0303698356321,0,0
AAV.168961,2.0303698356321,0,0
AAV.126663,1.80477318722854,0,0
AAV.183917,1.80477318722854,0,0
AAV.144994,1.80477318722854,0,0
AAV.101382,1.57917653882497,36.3711601855997,14.0375236316241
AAV.117002,1.57917653882497,0,0
AAV.115461,1.57917653882497,0,0
AAV.173949,1.57917653882497,0,0
AAV.180831,1.57917653882497,0,1.00268025940172
AAV.139157,1.3535798904214,0,0
AAV.182364,1.3535798904214,8.08248004124438,2.00536051880344
AAV.127679,1.3535798904214,0,0
AAV.126522,1.3535798904214,0,0
AAV.173420,1.3535798904214,0,0
AAV.132144,1.3535798904214,0,0
AAV.178438,1.3535798904214,0,0
AAV.126385,1.12798324201783,0,0
AAV.177297,1.12798324201783,0,0
AAV.127572,1.12798324201783,0,0
AAV.177434,1.12798324201783,0,0
AAV.125994,1.12798324201783,0,0
AAV.126520,1.12798324201783,0,0
AAV.126108,1.12798324201783,0,0
AAV.129270,1.12798324201783,0,3.00804077820516
AAV.161980,1.12798324201783,0,0
AAV.179734,1.12798324201783,0,0
AAV.182047,1.12798324201783,0,0
AAV.173229,1.12798324201783,0,0
AAV.154235,0.902386593614268,0,0
